CIDADE;YEAR;POPULATION;MURDER;RAPE;ROBBERY;ASSALTOS;B & E;LARCENY THEFT;M/V THEFT;GRAND TOTAL;PERCENT CHANGE;VIOLENT CRIME TOTAL;VIOLENT CRIME PERCENT;VIOLENT CRIME PERCENT CHANGE;PROPERTY CRIME TOTALS;PROPERTY CRIME PERCENT;PROPERTY CRIME PERCENT CHANGE;OVERALL CRIME RATE PER 100,000 PEOPLE;OVERALL PERCENT CHANGE PER 100,000 PEOPLE;VIOLENT CRIME RATE PER 100,000 PEOPLE;VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE;PROPERTY CRIME RATE PER 100,000 PEOPLE;PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE;MURDER PER 100,000 PEOPLE;RAPE PER 100,000 PEOPLE;ROBBERY PER 100,000 PEOPLE;AGG. ASSAULT PER 100,000 PEOPLE;B & E PER 100,000 PEOPLE;LARCENY THEFT PER 100,000 PEOPLE;M/V THEFT PER 100,000 PEOPLE;MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE;RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE;ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE;AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE;B & E RATE PERCENT CHANGE PER 100,000 PEOPLE;LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE;M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE
Allegany County;1975;79655;3;5;20;114;669;1425;93;2329;;142;6.1;;2187;93.9;;2923.9;;178.3;;2745.6;;3.8;6.3;25.1;143.1;839.9;1789;116.8;;;;;;;
Allegany County;1976;83923;2;2;24;59;581;1384;73;2125;-8.8;87;4.1;-38.7;2038;95.9;-6.8;2532.1;-13.4;103.7;-41.8;2428.4;-11.6;2.4;2.4;28.6;70.3;692.3;1649.1;87;-36.7;-62;13.9;-50.9;-17.6;-7.8;-25.5
Allegany County;1977;82102;3;7;32;85;592;1390;102;2211;4;127;5.7;46;2084;94.3;2.3;2693;6.4;154.7;49.2;2538.3;4.5;3.7;8.5;39;103.5;721.1;1693;124.2;53.3;257.8;36.3;47.3;4.2;2.7;42.8
Allegany County;1978;79966;1;2;18;81;539;1390;100;2131;-3.6;102;4.8;-19.7;2029;95.2;-2.6;2664.9;-1;127.6;-17.5;2537.3;0;1.3;2.5;22.5;101.3;674;1738.2;125.1;-65.8;-70.7;-42.2;-2.2;-6.5;2.7;0.7
Allegany County;1979;79721;1;7;18;84;502;1611;99;2322;9;110;4.7;7.8;2212;95.3;9;2912.7;9.3;138;8.2;2774.7;9.4;1.3;8.8;22.6;105.4;629.7;2020.8;124.2;0.3;251.1;0.3;4;-6.6;16.3;-0.7
Allegany County;1980;80461;2;12;26;79;541;1706;108;2474;6.5;119;4.8;8.2;2355;95.2;6.5;3074.8;5.6;147.9;7.2;2926.9;5.5;2.5;14.9;32.3;98.2;672.4;2120.3;134.2;98.2;69.9;43.1;-6.8;6.8;4.9;8.1
Allegany County;1981;81781;11;13;24;101;539;1697;88;2473;0;149;6;25.2;2324;94;-1.3;3023.9;-1.7;182.2;23.2;2841.7;-2.9;13.5;15.9;29.3;123.5;659.1;2075.1;107.6;441.1;6.6;-9.2;25.8;-2;-2.1;-19.8
Allegany County;1982;81858;1;18;18;80;447;1570;55;2189;-11.5;117;5.3;-21.5;2072;94.7;-10.8;2674.1;-11.6;142.9;-21.6;2531.2;-10.9;1.2;22;22;97.7;546.1;1918;67.2;-90.9;38.3;-25.1;-20.9;-17.1;-7.6;-37.6
Allegany County;1983;82605;5;9;19;89;347;1412;67;1948;-11;122;6.3;4.3;1826;93.7;-11.9;2358.2;-11.8;147.7;3.3;2210.5;-12.7;6.1;10.9;23;107.7;420.1;1709.3;81.1;395.5;-50.5;4.6;10.2;-23.1;-10.9;20.7
Allegany County;1984;80835;2;15;6;67;361;1338;68;1857;-4.7;90;4.8;-26.2;1767;95.2;-3.2;2297.3;-2.6;111.3;-24.6;2185.9;-1.1;2.5;18.6;7.4;82.9;446.6;1655.2;84.1;-59.1;70.3;-67.7;-23.1;6.3;-3.2;3.7
Allegany County;1985;77655;0;7;12;70;396;1249;61;1795;-3.3;89;5;-1.1;1706;95;-3.5;2311.5;0.6;114.6;2.9;2196.9;0.5;0;9;15.5;90.1;509.9;1608.4;78.6;-100;-51.4;108.2;8.8;14.2;-2.8;-6.6
Allegany County;1986;78947;1;11;12;97;432;1393;60;2006;11.8;121;6;36;1885;94;10.5;2540.9;9.9;153.3;33.7;2387.7;8.7;1.3;13.9;15.2;122.9;547.2;1764.5;76;126.7;54.6;-1.6;36.3;7.3;9.7;-3.2
Allegany County;1987;75697;2;9;22;120;409;1390;59;2011;0.2;153;7.6;26.4;1858;92.4;-1.4;2656.6;4.6;202.1;31.9;2454.5;2.8;2.6;11.9;29.1;158.5;540.3;1836.3;77.9;108.6;-14.7;91.2;29;-1.3;4.1;2.6
Allegany County;1988;76500;4;19;16;124;448;1439;81;2131;6;163;7.6;6.5;1968;92.4;5.9;2785.6;4.9;213.1;5.4;2572.5;4.8;5.2;24.8;20.9;162.1;585.6;1881;105.9;97.9;108.9;-28;2.2;8.4;2.4;35.8
